Name,From,To,P,W,D,L
Selection committee,1892,31 December 1929,(n/a),(n/a),(n/a),(n/a)
Andy Cunningham,1 January 1930,31 May 1935,251,105,45,101
Tom Mather,1 June 1935,1 September 1939,179,78,32,69
Stan Seymour,1 September 1939,1 June 1958,338,130,74,134
George Martin,1 May 1947,1 December 1950,155,76,40,39
Doug Livingstone,1 December 1954,1 January 1956,99,43,20,36
Charlie Mitten,1 June 1958,1 October 1961,145,53,28,64
Norman Smith,1 October 1961,1 June 1962,35,12,8,15
Joe Harvey,1 June 1962,1 June 1975,591,224,152,215
Gordon Lee,12 June 1975,30 January 1977,74,28,20,26
Richard Dinnis,2 February 1977,9 November 1977,40,12,10,18
"[u'Willie McFaul', u'[', u'2', u']']",9 November 1977,18 November 1977,1,0,0,1
Bill McGarry,18 November 1977,31 August 1980,118,37,33,48
"[u'Joe Harvey', u'[', u'2', u']']",31 August 1980,7 September 1980,3,2,1,0
Arthur Cox,7 September 1980,24 May 1984,169,76,42,51
Jack Charlton,14 August 1984,10 August 1985,48,15,15,18
Willie McFaul,12 August 1985,10 October 1988,147,52,41,56
"[u'Colin Suggett', u'[', u'2', u']']",10 October 1988,14 December 1988,9,2,2,5
Jim Smith,14 December 1988,21 March 1991,121,44,38,39
"[u'Bobby Saxton', u'[', u'2', u']']",21 March 1991,26 March 1991,1,0,1,0
Osvaldo Ardiles,26 March 1991,5 February 1992,47,10,18,19
Kevin Keegan,5 February 1992,8 January 1997,251,138,51,62
"[u'Terry McDermott', u'[', u'2', u']']",8 January 1997,14 January 1997,1,0,1,0
Kenny Dalglish,14 January 1997,27 August 1998,78,30,26,22
Ruud Gullit,28 August 1998,28 August 1999,52,18,14,20
"[u'Steve Clarke', u'[', u'2', u']']",28 August 1999,2 September 1999,1,0,0,1
Sir Bobby Robson,2 September 1999,30 August 2004,255,119,64,72
"[u'John Carver', u'[', u'2', u']']",11 September 2004,13 September 2004,1,1,0,0
Graeme Souness,13 September 2004,2 February 2006,87,39,19,29
Glenn Roeder,2 February 2006,6 May 2007,72,33,15,24
"[u'Nigel Pearson', u'[', u'2', u']']",6 May 2007,15 May 2007,1,0,1,0
Sam Allardyce,15 May 2007,9 January 2008,24,8,6,10
"[u'Nigel Pearson', u'[', u'2', u']']",9 January 2008,16 January 2008,2,1,0,1
Kevin Keegan,16 January 2008,4 September 2008,21,6,6,9
"[u'Chris Hughton', u'[', u'2', u']']",8 September 2008,28 September 2008,3,0,0,3
Joe Kinnear,29 September 2008,"[u'1 April 2009', u'[', u'3', u']']",18,4,8,6
Alan Shearer,1 April 2009,"[u'24 May 2009', u'[', u'4', u']']",8,1,2,5
"[u'Chris Hughton', u'[', u'5', u']']",24 May 2009,6 December 2010,64,38,11,15
Alan Pardew,9 December 2010,2 January 2015,185,71,41,73
John Carver,26 January 2015,"[u'9 June 2015', u'[', u'6', u']']",20,3,4,13
Steve McClaren,"[u'10 June 2015', u'[', u'7', u']']",Present,20,5,5,10
