Name,From,To,Matches,Won,Drawn,Lost
"[u'Cecil Knight', u'[', u'2', u']']",August 1892,May 1895,25,15,2,8
"[u'Charles Robson', u'[', u'2', u']']",August 1895,May 1896,23,16,0,7
"[u'Alfred McMinn', u'[', u'2', u']']",August 1896,May 1897,27,19,7,1
"[u'Ernest Arnfield', u'[', u'2', u']']",August 1897,May 1911,514,268,107,139
George Swift,August 1911,May 1912,39,10,11,18
"[u'Ernest Arnfield', u'[', u'2', u']']",August 1912,May 1919,121,46,25,50
Jimmy McIntyre,August 1919,December 1924,209,85,77,47
Arthur Chadwick,October 1925,May 1931,256,100,60,96
George Kay,May 1931,May 1936,219,76,43,100
George Goss,May 1936,March 1937,32,10,8,14
Tom Parker,March 1937,June 1943,97,29,22,46
Arthur Dominy,June 1943,January 1946,0,0,0,0
Bill Dodgin,January 1946,August 1949,137,65,28,44
Sid Cann,August 1949,December 1951,107,41,33,33
George Roughton,March 1952,September 1955,156,63,37,56
Ted Bates,September 1955,November 1973,850,333,212,305
Lawrie McMenemy,November 1973,June 1985,539,225,144,170
Chris Nicholl,July 1985,May 1991,293,100,86,107
Ian Branfoot,June 1991,January 1994,128,37,34,57
Alan Ball,January 1994,July 1995,67,22,24,21
David Merrington,July 1995,June 1996,48,15,13,20
Graeme Souness,July 1996,June 1997,48,14,15,19
Dave Jones,June 1997,January 2000,113,37,22,54
Glenn Hoddle,January 2000,March 2001,52,22,12,18
Stuart Gray,March 2001,October 2001,19,6,2,11
Gordon Strachan,October 2001,February 2004,110,39,32,39
Steve Wigley,February 2004,March 2004,2,0,2,0
Paul Sturrock,March 2004,August 2004,13,5,2,6
Steve Wigley,August 2004,December 2004,17,3,6,8
Harry Redknapp,December 2004,December 2005,49,13,21,15
"[u'Dave Bassett', u' & ', u'Dennis Wise']",December 2005,December 2005,3,1,1,1
George Burley,December 2005,January 2008,109,45,25,39
"[u'John Gorman', u' & ', u'Jason Dodd']",January 2008,February 2008,6,1,1,4
Nigel Pearson,February 2008,May 2008,14,3,7,4
Jan Poortvliet,May 2008,January 2009,32,8,8,16
Mark Wotte,January 2009,July 2009,18,4,7,7
Alan Pardew,July 2009,August 2010,64,34,17,13
Dean Wilkins,August 2010,September 2010,3,0,0,3
Nigel Adkins,September 2010,January 2013,124,67,25,32
Mauricio Pochettino,January 2013,May 2014,60,23,18,19
Ronald Koeman,June 2014,Present,70,32,14,24
