Name,From,To,P,W,D,L
"[u'Worrall, George', u'George Worrall']",August 1877,May 1885,4,1,1,2
"[u'Addenbrooke, Jack', u'Jack Addenbrooke']",August 1885,June 1922,"1,125",455,220,450
"[u'Jobey, George', u'George Jobey']",June 1922,May 1924,91,36,26,29
"[u'Hoskins, Albert', u'Albert Hoskins']",June 1924,March 1926,78,34,13,31
"[u'Scotchbrook, Fred', u'Fred Scotchbrook']",March 1926,June 1927,57,24,9,24
"[u'Buckley, Major Frank', u'Major Frank Buckley']",July 1927,March 1944,681,281,136,264
"[u'Vizard, Ted', u'Ted Vizard']",April 1944,May 1948,178,87,40,51
"[u'Cullis, Stan', u'Stan Cullis']",June 1948,September 1964,748,350,171,227
"[u'Beattie, Andy', u'Andy Beattie']",November 1964,September 1965,44,19,7,18
"[u'Allen, Ronnie', u'Ronnie Allen']",September 1965,November 1968,150,66,35,49
"[u'McGarry, Bill', u'Bill McGarry']",November 1968,May 1976,398,153,110,135
"[u'Chung, Sammy', u'Sammy Chung']",June 1976,November 1978,108,41,27,40
"[u'Barnwell, John', u'John Barnwell']",November 1978,January 1982,166,64,40,62
"[u'Greaves, Ian', u'Ian Greaves']",February 1982,August 1982,20,5,6,9
"[u'Hawkins, Graham', u'Graham Hawkins']",August 1982,April 1984,90,26,28,36
"[u'Docherty, Tommy', u'Tommy Docherty']",June 1984,July 1985,48,9,12,27
"[u'McGarry, Bill', u'Bill McGarry']",September 1985,November 1985,12,2,3,7
"[u'Chapman, Sammy', u'Sammy Chapman']",November 1985,August 1986,33,8,9,16
"[u'Turner, Graham', u'Graham Turner']",October 1986,March 1994,412,179,109,124
"[u'Taylor, Graham', u'Graham Taylor']",March 1994,November 1995,91,36,29,26
"[u'McGhee, Mark', u'Mark McGhee']",December 1995,November 1998,159,65,39,55
"[u'Lee, Colin', u'Colin Lee']",November 1998,December 2000,111,44,33,34
"[u'Jones, Dave', u'Dave Jones']",January 2001,November 2004,187,75,52,60
"[u'Hoddle, Glenn', u'Glenn Hoddle']",December 2004,July 2006,76,27,34,15
"[u'McCarthy, Mick', u'Mick McCarthy']",July 2006,February 2012,270,104,66,100
"[u'Connor, Terry', u'Terry Connor']",February 2012,June 2012,13,0,4,9
"[u'Solbakken, St\xe5le', u'St\xe5le Solbakken']",July 2012,January 2013,30,10,5,15
"[u'Saunders, Dean', u'Dean Saunders']",January 2013,May 2013,20,5,5,10
"[u'Jackett, Kenny', u'Kenny Jackett']",May 2013,[],130,65,34,31
